Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,84.25052192
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,159.6325678
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,634.0960334
2010,4,201004,Perth,Newman,Perth - Newman,368,543.9331942
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,440.4676409
2010,4,201004,Perth,Sydney,Perth - Sydney,388,573.4947808
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,174.4133612
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,280.8350731
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,351.782881
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,316.1907307
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,218.7557411
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,470.0292276
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,141.8956159
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,410.9060543
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,560.1181628
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,141.8956159
2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56,82.77244259
2010,5,201005,Adelaide,Perth,Adelaide - Perth,298,440.4676409
2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,262.5955741
2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76,112.3340292
2010,5,201005,Albury,Sydney,Albury - Sydney,150,221.7118998
2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568,839.5490605
2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206,304.4843424
2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658,972.5762004
2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188,277.8789144
2010,5,201005,Avalon,Sydney,Avalon - Sydney,78,115.2901879
2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1031.699374
2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527,778.9478079
2010,5,201005,Ballina,Sydney,Ballina - Sydney,198,292.6597077
2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208,307.440501
2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219,323.6993737
2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398,588.2755741
2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246,363.6075157
2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182,269.0104384
2010,5,201005,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,233.5365344
2010,5,201005,Brisbane,Mackay,Brisbane - Mackay,168.95,249.7215031
